"Date of data","Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"202401","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","116","Japan","8,437,640",
"202401","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","141","Viet Nam","641,078",
"202401","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","304","Germany","2,800,573",
"202401","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","344","Russia","706,016",
"202401","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","402","Argentina","47,590",
"202401","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","410","Brazil","36,828",
"202401","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","502","United States","11,827,968",
"202401","6402","Other footwear with outer soles and uppers of rubber or plastics.","116","Japan","92,576,853",
"202401","6402","Other footwear with outer soles and uppers of rubber or plastics.","141","Viet Nam","52,617,691",
"202401","6402","Other footwear with outer soles and uppers of rubber or plastics.","304","Germany","73,982,592",
"202401","6402","Other footwear with outer soles and uppers of rubber or plastics.","344","Russia","142,273,105",
"202401","6402","Other footwear with outer soles and uppers of rubber or plastics.","402","Argentina","2,290,509",
"202401","6402","Other footwear with outer soles and uppers of rubber or plastics.","410","Brazil","1,448,982",
"202401","6402","Other footwear with outer soles and uppers of rubber or plastics.","502","United States","443,513,518",
"202401","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","116","Japan","17,964,890",
"202401","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","141","Viet Nam","13,868,134",
"202401","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","304","Germany","20,822,080",
"202401","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","344","Russia","101,158,336",
"202401","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","402","Argentina","427,381",
"202401","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","410","Brazil","770,815",
"202401","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","502","United States","175,196,928",
"202401","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","116","Japan","71,557,394",
