"Date of data","Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"202501","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","116","Japan","9,814,214",
"202501","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","141","Viet Nam","511,472",
"202501","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","304","Germany","2,305,362",
"202501","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","344","Russia","1,101,953",
"202501","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","402","Argentina","87,469",
"202501","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","410","Brazil","78,891",
"202501","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","502","United States","17,719,653",
"202501","6402","Other footwear with outer soles and uppers of rubber or plastics.","116","Japan","102,637,531",
"202501","6402","Other footwear with outer soles and uppers of rubber or plastics.","141","Viet Nam","35,271,430",
"202501","6402","Other footwear with outer soles and uppers of rubber or plastics.","304","Germany","78,201,819",
"202501","6402","Other footwear with outer soles and uppers of rubber or plastics.","344","Russia","135,650,298",
"202501","6402","Other footwear with outer soles and uppers of rubber or plastics.","402","Argentina","4,743,192",
"202501","6402","Other footwear with outer soles and uppers of rubber or plastics.","410","Brazil","2,624,286",
"202501","6402","Other footwear with outer soles and uppers of rubber or plastics.","502","United States","449,059,080",
"202501","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","116","Japan","16,085,745",
"202501","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","141","Viet Nam","10,751,680",
"202501","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","304","Germany","38,357,727",
"202501","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","344","Russia","136,611,532",
