"Date of data","Commodity code","Commodity","US dollar",
"202401","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","53,172,148",
"202401","6402","Other footwear with outer soles and uppers of rubber or plastics.","3,035,022,792",
"202401","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","730,311,817",
"202401","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","1,411,267,216",
"202401","6405","Other footwear.","109,892,157",
"202402","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","33,049,578",
"202402","6402","Other footwear with outer soles and uppers of rubber or plastics.","1,814,707,876",
"202402","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","525,983,290",
"202402","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","882,355,134",
"202402","6405","Other footwear.","58,467,579",
"202403","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","39,216,572",
"202403","6402","Other footwear with outer soles and uppers of rubber or plastics.","1,576,607,397",
"202403","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","421,271,066",
"202403","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","753,248,743",
"202403","6405","Other footwear.","95,453,733",
"202404","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","49,142,136",
"202404","6402","Other footwear with outer soles and uppers of rubber or plastics.","1,978,257,508",
"202404","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","473,672,356",
"202404","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","875,550,540",
"202404","6405","Other footwear.","115,434,645",
"202405","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","63,098,569",
"202405","6402","Other footwear with outer soles and uppers of rubber or plastics.","2,240,052,796",
